id,flag,01,02,03
lFOatVZgA1,2,-30.6713,NA,NA
v0ubsapPeI,4,6.901,6.0024,14.2067
VlWl4mKZRf,4,-36.8738,-39.185,-0.0818
tm36z6MjWK,4,21.5363,19.1871,0.2407
h5E9JO5qSv,4,33.877,33.2408,42.1308
cN5Q21JbDk,4,6.901,6.0024,14.2067
7X41sCC8EV,2,-30.6713,NA,NA
OUlDqPRlTW,2,-30.6713,NA,NA
o5ZuWha23d,2,39.3822,NA,NA
7WVFCD9E70,2,-30.6713,NA,NA
mEKf48Bqcp,4,33.877,33.2408,42.1308
1eckFZM6Kp,2,22.0981,NA,NA
6mmUmMNidj,2,22.0981,NA,NA
Xmcm7VHbo6,2,39.3822,NA,NA
xJh4tWU8Rt,2,-30.6713,NA,NA
BJxY1VqXMn,4,21.5363,19.1871,0.2407
WjXh1aeNON,4,-36.8738,-39.185,-0.0818
OOPseHwcwX,4,-36.8738,-39.185,-0.0818
666YMs2xzF,4,-29.6867,-26.7863,-29.2983
TijvDnwxmH,4,21.5363,19.1871,0.2407
jaFCAxpkN1,4,30.2132,49.8275,27.0755
izk4s2XKTx,2,-30.6713,NA,NA
0OO6fBK8vv,2,22.0981,NA,NA
bvemfpvXud,4,11.4208,11.6978,-1.6536
DafMXkM7Fv,4,33.877,33.2408,42.1308
N13rWX0fby,4,6.6664,35.2506,4.1819
IbhgSakOx7,4,33.877,33.2408,42.1308
Uykc3jin7D,4,-36.8738,-39.185,-0.0818
760meqwwc0,4,-29.6867,-26.7863,-29.2983
hcy3ydrlnP,4,21.5363,19.1871,0.2407
FQr8ptmulV,2,-30.6713,NA,NA
DR1jwnVzNj,4,11.4208,11.6978,-1.6536
hTwnyA9fn6,4,21.5363,19.1871,0.2407
q0I0ao7s8U,4,21.5363,19.1871,0.2407
BtmUbqfLtu,2,-30.6713,NA,NA
PsGL5qNxp1,4,-29.6867,-26.7863,-29.2983
YTvRn11mhr,4,11.4208,11.6978,-1.6536
Da0Nw2g4Q6,4,33.877,33.2408,42.1308
98KdiwYWjh,2,22.0981,NA,NA
XtbMreio4h,4,30.2132,49.8275,27.0755
gOeBtve5V8,4,-36.8738,-39.185,-0.0818
t7tZRTH1WX,4,-36.8738,-39.185,-0.0818
JsGbEc0OAw,4,6.901,6.0024,14.2067
6ALowESafC,2,-30.6713,NA,NA
miruSks0tK,4,21.5363,19.1871,0.2407
emTMCDNcYE,4,33.877,33.2408,42.1308
eI5qhLlk3x,4,11.4208,11.6978,-1.6536
6I8xHU0d0Z,4,6.901,6.0024,14.2067
se2VdBsVeC,2,22.0981,NA,NA
A3Q5nFsGer,2,-30.6713,NA,NA
qPeOdI6Glu,4,-29.6867,-26.7863,-29.2983
1QqjItuIYM,4,11.4208,11.6978,-1.6536
pjQLlvZFIZ,4,-36.8738,-39.185,-0.0818
M1xet6oOeG,2,-30.6713,NA,NA
XDvNjQXWRc,4,-36.8738,-39.185,-0.0818
v9pqBI0kG4,4,11.4208,11.6978,-1.6536
LIyl1MLueK,4,30.2132,49.8275,27.0755
AbUXi8DbrO,4,-29.6867,-26.7863,-29.2983
tKYcG1gDN4,4,30.2132,49.8275,27.0755
CoyhvQhhee,4,33.877,33.2408,42.1308
SeqFeFu3Ok,2,39.3822,NA,NA
WU2ByGZqFP,4,30.2132,49.8275,27.0755
DIbh6pDmVi,2,-30.6713,NA,NA
88kORWPjP4,2,-30.6713,NA,NA
JCQPnaIJGI,2,22.0981,NA,NA
7OrqcmPDzO,2,39.3822,NA,NA
u0e8qwGrWk,2,-30.6713,NA,NA
B8o3rfVDZ8,4,33.877,33.2408,42.1308
Zh7LpuAPpt,2,39.3822,NA,NA
XTfdBLslN5,4,30.2132,49.8275,27.0755
DanDIE8LE3,4,-36.8738,-39.185,-0.0818
Gf9va4KfRV,4,6.901,6.0024,14.2067
LnPlL8SwV4,4,21.5363,19.1871,0.2407
3zRBBI54Wv,4,-29.6867,-26.7863,-29.2983
ckuyQg1rBA,4,21.5363,19.1871,0.2407
Uo6OJBoxvj,2,22.0981,NA,NA
qftdF1ER9n,2,22.0981,NA,NA
pwfOSXACQO,2,39.3822,NA,NA
f9E0byHOb7,2,22.0981,NA,NA
4bS3pWIxbM,4,-36.8738,-39.185,-0.0818
v6lEzV9Msw,4,6.6664,35.2506,4.1819
k7XgWuMMPV,4,21.5363,19.1871,0.2407
Bgej3nfCMm,2,39.3822,NA,NA
tYtmvoGWJM,4,6.6664,35.2506,4.1819
nIEfUPFhRJ,4,-29.6867,-26.7863,-29.2983
NYU9iPg2lY,4,30.2132,49.8275,27.0755
N7zjPZF4Kh,4,33.877,33.2408,42.1308
c7HqN8F8Yj,4,30.2132,49.8275,27.0755
k33ckPRrMK,4,6.6664,35.2506,4.1819
3mMzMFKAiK,4,-29.6867,-26.7863,-29.2983
Ij44Bnr81y,2,-30.6713,NA,NA
4uctbcGLEf,2,39.3822,NA,NA
9Er6GZLD0I,4,6.6664,35.2506,4.1819
NGtD8OFMKJ,4,30.2132,49.8275,27.0755
5cr0lJ30mj,4,11.4208,11.6978,-1.6536
1LLuAVZg4X,4,-29.6867,-26.7863,-29.2983
7WbWxp4rEN,4,6.901,6.0024,14.2067
9ax9l7Ei21,4,6.901,6.0024,14.2067
0CUYQRZbrx,4,33.877,33.2408,42.1308
uc0VDmizgf,4,-29.6867,-26.7863,-29.2983
TmKMPke7aW,4,6.901,6.0024,14.2067
27qkgLqzyx,4,-29.6867,-26.7863,-29.2983
8el2sexi6t,4,-36.8738,-39.185,-0.0818
J6GUWZwQzd,4,-29.6867,-26.7863,-29.2983
jRYxUmXGNP,2,-30.6713,NA,NA
OxPxYz68hR,2,22.0981,NA,NA
KdvaWeV6Zw,4,-29.6867,-26.7863,-29.2983
PRfdfcH9uB,4,6.6664,35.2506,4.1819
vaPZUJxOE9,4,21.5363,19.1871,0.2407
HGvc082Th0,4,21.5363,19.1871,0.2407
gNgjOv4u6g,2,-30.6713,NA,NA
ttot35TyvY,2,22.0981,NA,NA
ALJHL91eyh,4,30.2132,49.8275,27.0755
ztKSe1GUPE,4,6.6664,35.2506,4.1819
g5EKfVaCSk,4,30.2132,49.8275,27.0755
Cx4td6Kyri,4,11.4208,11.6978,-1.6536
fIX01bvxXt,4,21.5363,19.1871,0.2407
1DQ22IOSob,4,-29.6867,-26.7863,-29.2983
t6gBxeYv5K,4,21.5363,19.1871,0.2407
k1O86pYUC0,4,11.4208,11.6978,-1.6536
yccDtbDuqW,4,21.5363,19.1871,0.2407
YJYjYub5r0,2,-30.6713,NA,NA
dtkIL2Ame3,4,11.4208,11.6978,-1.6536
NNlZaNgPQO,4,-29.6867,-26.7863,-29.2983
mchSj2A7K4,4,6.6664,35.2506,4.1819
nYbovGKYvc,2,-30.6713,NA,NA
ZxP6JQS8Xe,4,33.877,33.2408,42.1308
37d7DqJPzk,4,33.877,33.2408,42.1308
iOKoHaQXsQ,4,-29.6867,-26.7863,-29.2983
PhH4i7VaOI,4,-36.8738,-39.185,-0.0818
tDYZG0B4ZE,4,-29.6867,-26.7863,-29.2983
godrr8WhZW,2,39.3822,NA,NA
HvvZvAsafS,4,11.4208,11.6978,-1.6536
4FtAUv1DKy,2,22.0981,NA,NA
x5FlJZPmSV,4,6.901,6.0024,14.2067
A1jB5AsYLY,4,30.2132,49.8275,27.0755
yFInMcbz9J,4,33.877,33.2408,42.1308
1u999dynrR,2,22.0981,NA,NA
4KhUMIunl7,4,30.2132,49.8275,27.0755
gX3LlcdnUR,2,-30.6713,NA,NA
A6i7mdircF,2,22.0981,NA,NA
Wft4Q9HhkF,4,21.5363,19.1871,0.2407
6588ruGOD1,2,-30.6713,NA,NA
iPehplTT1e,2,-30.6713,NA,NA
DXPYHY8sxG,2,22.0981,NA,NA
AmaGS12KVP,4,30.2132,49.8275,27.0755
WBDDGtxq2n,4,21.5363,19.1871,0.2407
spri6ZcHPw,2,39.3822,NA,NA
HDlARQZu88,2,39.3822,NA,NA
GxHnt3N3oF,4,6.901,6.0024,14.2067
JYnd80JKzT,2,-30.6713,NA,NA
BbnYiWAuG4,4,-36.8738,-39.185,-0.0818
AsVwdqxyAT,4,30.2132,49.8275,27.0755
EZCh0kTslc,2,22.0981,NA,NA
VgZu9loaSK,4,21.5363,19.1871,0.2407
An4hW24CNK,2,-30.6713,NA,NA
ztJN1Z7nui,4,6.901,6.0024,14.2067
FPCqKIYqgX,4,11.4208,11.6978,-1.6536
mOZlRKPmQ7,4,21.5363,19.1871,0.2407
lnhT1Z2j0d,4,6.901,6.0024,14.2067
ciXYKEWYb6,4,30.2132,49.8275,27.0755
7bg6VDmuA0,2,22.0981,NA,NA
3SFx94J0Ai,4,6.6664,35.2506,4.1819
mTibVt5tlM,4,30.2132,49.8275,27.0755
Kxzy9jlIEJ,4,-29.6867,-26.7863,-29.2983
s8Z2n39vIR,4,33.877,33.2408,42.1308
7IC0pIFCo4,4,-29.6867,-26.7863,-29.2983
VAtcbWibe8,4,33.877,33.2408,42.1308
5x0WBvh8N0,2,-30.6713,NA,NA
CSbjliFP1r,2,39.3822,NA,NA
iYQ7QmKjim,2,-30.6713,NA,NA
L8pZKrtStJ,4,6.901,6.0024,14.2067
MuUAMHr4Fl,2,-30.6713,NA,NA
ZYYLnUGGEY,4,11.4208,11.6978,-1.6536
ZuQ1SexfgY,4,11.4208,11.6978,-1.6536
vvbPeRlTIK,4,30.2132,49.8275,27.0755
GkwsC4eaWF,4,11.4208,11.6978,-1.6536
RPKX3m8paU,4,21.5363,19.1871,0.2407
MIM7O2IfZt,2,39.3822,NA,NA
54ATZXsIoQ,4,33.877,33.2408,42.1308
3Fz5zv7UMz,4,6.901,6.0024,14.2067
AFf6lvR3UC,4,-29.6867,-26.7863,-29.2983
zEYRSafIxp,2,22.0981,NA,NA
BVr3TJDcQQ,2,39.3822,NA,NA
yOKaegXwam,4,-36.8738,-39.185,-0.0818
pQXZu7F413,2,-30.6713,NA,NA
VIoTQeiii4,4,6.901,6.0024,14.2067
A68S1bWEP7,4,6.6664,35.2506,4.1819
scMutiOrYt,4,11.4208,11.6978,-1.6536
ASq7q4mJTL,4,11.4208,11.6978,-1.6536
Nawb6C1DSK,4,-36.8738,-39.185,-0.0818
XgIiSD3O7F,4,-29.6867,-26.7863,-29.2983
mM0I3J0Q5y,4,11.4208,11.6978,-1.6536
WfnwMId4h9,4,33.877,33.2408,42.1308
NEsSp64ReX,4,11.4208,11.6978,-1.6536
CMVJSWCajs,4,6.901,6.0024,14.2067
7p8l6DGYAb,4,30.2132,49.8275,27.0755
gJItX2yk6e,4,30.2132,49.8275,27.0755
CXXWdyAinP,4,21.5363,19.1871,0.2407
eoERzvjF7Z,4,11.4208,11.6978,-1.6536
I99Bi7cdNs,4,21.5363,19.1871,0.2407
oVJ5EBLGei,4,33.877,33.2408,42.1308
kF9omexdaA,4,-36.8738,-39.185,-0.0818
61zJpjOqUL,4,33.877,33.2408,42.1308
4x9TuTJTht,2,-30.6713,NA,NA
WF7tlw0u6J,2,22.0981,NA,NA
ztHHgxophu,2,22.0981,NA,NA
QHes5Fqjpl,4,11.4208,11.6978,-1.6536
Nn3JjLWaVX,4,21.5363,19.1871,0.2407
zdvtvMVKVt,2,22.0981,NA,NA
sB5Yp24Dkh,2,-30.6713,NA,NA
qe5bG08asv,2,39.3822,NA,NA
JpVAYHTyeZ,4,6.901,6.0024,14.2067
3yeQBCs8dp,4,21.5363,19.1871,0.2407
vDTtZCP2db,2,39.3822,NA,NA
KHZrMkkyHn,4,30.2132,49.8275,27.0755
gz96m5rKI8,2,-30.6713,NA,NA
MtDuPNgQqQ,2,22.0981,NA,NA
Vdz4ydzUt4,4,6.6664,35.2506,4.1819
N5zBLPDUVd,2,39.3822,NA,NA
5N0ZxQ3TX4,2,-30.6713,NA,NA
kzJCpF9oGE,4,6.6664,35.2506,4.1819
MGw8kQF4EG,4,-29.6867,-26.7863,-29.2983
JrSpnkk52g,4,6.6664,35.2506,4.1819
fWDCQCNnSm,4,-29.6867,-26.7863,-29.2983
snOYA6Hfke,4,11.4208,11.6978,-1.6536
CRNwG2UYXX,4,-29.6867,-26.7863,-29.2983
i32U5MWJ9w,4,21.5363,19.1871,0.2407
n4GFUXiRrz,2,22.0981,NA,NA
Ix2jBgw8Ln,2,39.3822,NA,NA
